file,line,module,bound_name,confidence
gpu_env/_core/_step.py,2,__future__.annotations,annotations,high
gpu_env/_core/_tactical_context.py,5,__future__.annotations,annotations,high
tests/test_actor_pathway_diagnostics.py,3,__future__.annotations,annotations,high
tests/test_actor_z_pathway.py,3,__future__.annotations,annotations,high
tests/test_analyze_latent.py,13,__future__.annotations,annotations,high
tests/test_audit_regressions.py,19,__future__.annotations,annotations,high
tests/test_behavior_telemetry.py,3,__future__.annotations,annotations,high
tests/test_bucket_baseline.py,28,__future__.annotations,annotations,high
tests/test_checkpoint_refactor_phase3.py,1,__future__.annotations,annotations,high
tests/test_checkpoint_telemetry.py,3,__future__.annotations,annotations,high
tests/test_checkpoint_telemetry.py,14,rl.custom_ppo.telemetry.events.CheckpointLoaded,CheckpointLoaded,high
tests/test_checkpoint_telemetry.py,14,rl.custom_ppo.telemetry.events.CheckpointSaved,CheckpointSaved,high
tests/test_csia.py,3,__future__.annotations,annotations,high
tests/test_curriculum.py,3,__future__.annotations,annotations,high
tests/test_curriculum_gates_characterization.py,6,__future__.annotations,annotations,high
tests/test_curriculum_gates_characterization.py,26,rl.custom_ppo.gate_protocol.gate_family_names,gate_family_names,high
tests/test_custom_ppo_policy_parity.py,1,__future__.annotations,annotations,high
tests/test_diagnose_run.py,1,__future__.annotations,annotations,high
tests/test_diagnostics_phase7.py,15,__future__.annotations,annotations,high
tests/test_diagnostics_phase7.py,19,types.SimpleNamespace,SimpleNamespace,high
tests/test_discrete_mi.py,3,__future__.annotations,annotations,high
tests/test_domain_randomization.py,3,__future__.annotations,annotations,high
tests/test_e3_baseline_parity.py,3,__future__.annotations,annotations,high
tests/test_e3_baseline_parity.py,9,torch,torch,high
tests/test_e3_rng_verification.py,3,__future__.annotations,annotations,high
tests/test_entropy_annealing.py,1,__future__.annotations,annotations,high
tests/test_environment.py,1,__future__.annotations,annotations,high
tests/test_env_audit_hardpool.py,20,__future__.annotations,annotations,high
