tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
81,12.247461318969727,9.801219940185547,5.6282453536987305,11.040816307067871,13.934167861938477,8.692383766174316,15.163663864135742,9.736355781555176,0,45,0,45,0,0
82,13.514826774597168,10.38659954071045,6.71652889251709,11.001321792602539,12.881782531738281,8.798060417175293,14.126007080078125,9.759435653686523,0,45,0,45,0,0
83,14.603310585021973,10.420126914978027,7.804812431335449,10.961827278137207,13.210306167602539,9.622443199157715,13.743640899658203,10.151801109313965,0,45,0,45,0,0
84,15.240239143371582,9.18604850769043,8.893095970153809,10.922332763671875,13.623542785644531,9.721640586853027,13.564666748046875,11.090953826904297,0,45,0,45,0,0
85,13.967206954956055,8.4497652053833,9.981379508972168,10.882838249206543,14.685556411743164,9.891197204589844,14.190556526184082,11.815447807312012,0,45,0,45,0,0
86,12.88723087310791,8.589665412902832,11.069663047790527,10.843343734741211,14.746045112609863,9.057602882385254,15.138999938964844,11.393881797790527,0,45,0,45,0,0
87,11.807254791259766,8.729565620422363,12.157946586608887,10.803849220275879,13.887198448181152,8.55571460723877,14.901021003723145,10.38361930847168,0,45,0,45,0,0
88,10.727278709411621,8.869465827941895,12.80656623840332,11.002464294433594,12.85289192199707,8.642166137695312,14.30379581451416,10.19161319732666,0,45,0,45,0,0
89,9.647302627563477,9.009366035461426,12.896331787109375,9.917170524597168,11.820862770080566,8.752524375915527,13.526798248291016,10.612409591674805,0,45,0,45,0,0
90,8.567326545715332,9.149266242980957,12.08257007598877,10.130534172058105,11.50156021118164,9.141424179077148,13.14863395690918,10.305461883544922,0,45,0,45,0,0
91,7.487349987030029,9.289166450500488,10.993660926818848,10.116436958312988,11.803079605102539,9.654728889465332,12.595393180847168,10.214681625366211,0,45,0,45,0,0
92,6.407373428344727,9.42906665802002,9.904751777648926,10.102339744567871,11.227533340454102,9.903772354125977,12.214157104492188,10.381657600402832,0,45,0,45,0,0
93,5.327396869659424,9.56896686553955,8.815842628479004,10.088242530822754,11.677018165588379,10.76744556427002,11.810790061950684,9.425332069396973,0,45,0,45,0,0
94,4.247420310974121,9.708867073059082,7.72693395614624,10.074145317077637,12.692721366882324,10.553878784179688,12.67550277709961,8.851280212402344,0,45,0,45,0,0
95,3.1674439907073975,9.84876823425293,6.638025283813477,10.06004810333252,12.671618461608887,9.516180038452148,13.712530136108398,8.808405876159668,0,45,0,45,0,0
96,3.17836332321167,10.937713623046875,5.549116611480713,10.045950889587402,11.662257194519043,9.274408340454102,13.86310863494873,7.781473636627197,0,45,0,45,0,0
97,4.260928153991699,11.055930137634277,4.460207939147949,10.031852722167969,10.6528959274292,9.032636642456055,12.882043838500977,7.442687511444092,0,45,0,45,0,0
98,5.349301338195801,11.018980979919434,3.3712992668151855,10.017755508422852,9.643534660339355,8.790863037109375,11.845149993896484,7.396694660186768,0,45,0,45,0,0
99,6.437674522399902,10.98203182220459,3.22824764251709,11.097318649291992,8.634173393249512,8.549091339111328,10.808256149291992,7.350701332092285,0,45,0,45,0,0
100,7.526047706604004,10.945082664489746,4.283247947692871,11.367308616638184,7.624812602996826,8.307317733764648,9.7713623046875,7.304708480834961,0,45,0,45,0,0
101,8.614420890808105,10.908133506774902,5.3705949783325195,11.307329177856445,6.615451812744141,8.065544128417969,8.734468460083008,7.2587151527404785,0,45,0,45,0,0
102,9.702794075012207,10.871185302734375,6.457942008972168,11.247349739074707,5.606090545654297,7.823772430419922,7.697574615478516,7.212722301483154,0,45,0,45,0,0
103,10.791167259216309,10.834236145019531,7.545289039611816,11.187372207641602,4.596729755401611,7.581998825073242,6.660680770874023,7.16672945022583,0,45,0,45,0,0
104,11.87954044342041,10.797286987304688,8.632636070251465,11.127394676208496,3.8371381759643555,8.289306640625,5.623786926269531,7.120736598968506,0,45,0,45,0,0
105,12.967913627624512,10.760337829589844,9.719983100891113,11.06741714477539,4.390975475311279,9.16710376739502,4.586893081665039,7.074743747711182,0,45,0,45,0,0
106,14.056286811828613,10.723388671875,10.807330131530762,11.007439613342285,5.411432266235352,9.356659889221191,4.349020004272461,8.085030555725098,0,45,0,45,0,0
107,15.144659996032715,10.686439514160156,11.89467716217041,10.94746208190918,6.403938293457031,9.660298347473145,5.2946271896362305,8.512921333312988,0,45,0,45,0,0
108,16.2330322265625,10.649491310119629,12.982024192810059,10.887484550476074,7.414456367492676,9.897189140319824,6.268404960632324,8.872116088867188,0,45,0,45,0,0
109,16.325334548950195,9.564410209655762,14.069371223449707,10.827507019042969,8.448613166809082,9.9854097366333,7.290191173553467,9.054370880126953,0,45,0,35,0,0
