episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count
227,1,16.632,34.65,26,10,0,5.69369,3.47084,0.141667,OP2,scripted,OP2,3,0,3
228,1,14.553,72.072,29,24,0,5.51808,3.43467,0.191667,OP2,scripted,OP2,3,0,3
229,1,25.641,108.108,51,25,0,5.42787,3.01962,0.208333,OP2,scripted,OP2,3,0,3
230,1,20.79,46.431,33,15,0,5.34572,2.63934,0.0833333,OP2,scripted,OP2,3,0,3
231,1,10.395,48.51,32,14,0,6.11422,3.4322,0.158333,OP2,scripted,OP2,3,0,3
232,1,56.133,119.196,71,32,0,5.80004,3.38161,0.225,OP2,scripted,OP2,3,0,3
233,1,10.395,48.51,29,14,0,5.70604,3.09026,0.158333,OP2,scripted,OP2,3,0,3
234,1,31.878,67.914,45,16,0,5.6369,3.30273,0.166667,OP2,scripted,OP2,3,0,3
235,1,20.79,56.133,43,11,0,6.49544,3.53279,0.175,OP2,scripted,OP2,3,0,3
236,1,32.571,72.072,48,4,0,7.43304,3.78728,0.183333,OP2,scripted,OP2,3,0,3
237,1,31.878,88.011,41,23,0,6.40215,4.27094,0.25,OP2,scripted,OP2,3,0,3
238,1,42.273,87.318,53,16,0,5.82976,3.74016,0.158333,OP2,scripted,OP2,3,0,3
239,1,27.027,55.44,34,21,0,6.67898,4.01625,0.175,OP2,scripted,OP2,3,0,3
240,1,18.018,64.449,41,14,0,5.51769,3.69429,0.15,OP2,scripted,OP2,3,0,3
241,1,14.553,65.142,44,19,0,6.53273,4.13163,0.233333,OP2,scripted,OP2,3,0,3
242,1,15.939,55.44,28,18,0,4.79933,2.79359,0.133333,OP2,scripted,OP2,3,0,3
243,1,46.431,98.406,53,24,0,5.82908,3.15951,0.183333,OP2,scripted,OP2,3,0,3
244,1,18.018,88.011,49,22,0,6.36263,3.19081,0.191667,OP2,scripted,OP2,3,0,3
245,1,22.176,97.713,54,35,0,5.73218,3.93977,0.216667,OP2,scripted,OP2,3,0,3
246,1,10.395,44.352,24,14,0,6.5225,4.02699,0.175,OP2,scripted,OP2,3,0,3
247,1,22.869,61.677,45,15,0,7.59351,4.53249,0.241667,OP2,scripted,OP2,3,0,3
248,1,10.395,40.887,37,13,0,5.07984,3.74307,0.133333,OP2,scripted,OP2,3,0,3
249,1,9.009,46.431,25,12,0,5.43175,3.5091,0.15,OP2,scripted,OP2,3,0,3
250,1,14.553,56.826,37,15,0,5.37369,2.92271,0.125,OP2,scripted,OP2,3,0,3
251,1,45.738,119.889,60,29,0,6.53602,3.84996,0.191667,OP2,scripted,OP2,3,0,3
252,1,21.483,72.765,38,21,0,5.92643,3.98392,0.208333,OP2,scripted,OP2,3,0,3
253,1,36.036,58.905,39,12,0,6.21016,3.58675,0.175,OP2,scripted,OP2,3,0,3
254,1,23.562,66.528,39,23,0,5.96048,3.34365,0.175,OP2,scripted,OP2,3,0,3
255,1,10.395,87.318,44,25,0,6.04808,3.47722,0.141667,OP2,scripted,OP2,3,0,3
256,1,31.185,79.695,43,34,0,6.11673,4.09257,0.216667,OP2,scripted,OP2,3,0,3
257,1,31.185,63.063,31,21,0,6.12166,4.02964,0.158333,OP2,scripted,OP2,3,0,3
258,1,25.641,70.686,53,17,0,5.25449,3.29133,0.166667,OP2,scripted,OP2,3,0,3
259,1,20.79,60.984,45,20,0,6.16707,3.90092,0.158333,OP2,scripted,OP2,3,0,3
260,1,23.562,178.794,93,34,0,6.14186,3.6302,0.225,OP2,scripted,OP2,3,0,3
261,1,11.088,69.3,45,11,0,5.65818,3.377,0.141667,OP2,scripted,OP2,3,0,3
262,1,13.86,38.808,28,7,0,5.44599,2.86206,0.133333,OP2,scripted,OP2,3,0,3
