o1_seed,g0_seed,arm,opponent,eval_seed,episode_key,blue_score,red_score,score_margin,win,loss,draw,captures_blue,captures_red,lead_seen,lost_after_leading,lead_preserved,c1_fired,c1_onset_step,c1_active_steps,handoff_occurred,steps_after_handoff,injected,terminated
3300001,3200001,A,OP10,9600021,OP10:9600021,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,79,24,0,0,0,True
3300001,3200001,A,OP10,9600022,OP10:9600022,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,217,5,0,0,0,True
3300001,3200001,A,OP10,9600023,OP10:9600023,3.0,0.0,3.0,1,0,0,3,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600024,OP10:9600024,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600025,OP10:9600025,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP10,9600026,OP10:9600026,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,111,9,0,0,0,True
3300001,3200001,A,OP10,9600027,OP10:9600027,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,238,1,0,0,0,True
3300001,3200001,A,OP10,9600028,OP10:9600028,2.0,1.0,1.0,1,0,0,2,1,1,0,1,1,42,16,0,0,0,True
3300001,3200001,A,OP10,9600029,OP10:9600029,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,162,2,0,0,0,True
3300001,3200001,A,OP11,9600000,OP11:9600000,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,124,1,0,0,0,True
3300001,3200001,A,OP11,9600001,OP11:9600001,1.0,0.0,1.0,1,0,0,1,0,1,0,1,1,84,8,0,0,0,True
3300001,3200001,A,OP11,9600002,OP11:9600002,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,43,24,0,0,0,True
3300001,3200001,A,OP11,9600003,OP11:9600003,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600004,OP11:9600004,2.0,1.0,1.0,1,0,0,2,1,1,0,1,1,75,31,0,0,0,True
3300001,3200001,A,OP11,9600005,OP11:9600005,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600006,OP11:9600006,3.0,0.0,3.0,1,0,0,3,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600007,OP11:9600007,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,162,11,0,0,0,True
3300001,3200001,A,OP11,9600008,OP11:9600008,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,31,21,0,0,0,True
3300001,3200001,A,OP11,9600009,OP11:9600009,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,29,40,0,0,0,True
3300001,3200001,A,OP11,9600010,OP11:9600010,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,185,6,0,0,0,True
3300001,3200001,A,OP11,9600011,OP11:9600011,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,158,15,0,0,0,True
3300001,3200001,A,OP11,9600012,OP11:9600012,2.0,0.0,2.0,1,0,0,2,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600013,OP11:9600013,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,27,30,0,0,0,True
3300001,3200001,A,OP11,9600014,OP11:9600014,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,137,5,0,0,0,True
3300001,3200001,A,OP11,9600015,OP11:9600015,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,126,2,0,0,0,True
3300001,3200001,A,OP11,9600016,OP11:9600016,3.0,0.0,3.0,1,0,0,3,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600017,OP11:9600017,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,128,19,0,0,0,True
3300001,3200001,A,OP11,9600018,OP11:9600018,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,84,12,0,0,0,True
3300001,3200001,A,OP11,9600019,OP11:9600019,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600020,OP11:9600020,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,94,34,0,0,0,True
3300001,3200001,A,OP11,9600021,OP11:9600021,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,44,20,0,0,0,True
3300001,3200001,A,OP11,9600022,OP11:9600022,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600023,OP11:9600023,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,183,18,0,0,0,True
3300001,3200001,A,OP11,9600024,OP11:9600024,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,142,14,0,0,0,True
3300001,3200001,A,OP11,9600025,OP11:9600025,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,60,46,0,0,0,True
3300001,3200001,A,OP11,9600026,OP11:9600026,1.0,0.0,1.0,1,0,0,1,0,1,0,1,0,,0,0,0,0,True
3300001,3200001,A,OP11,9600027,OP11:9600027,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,61,10,0,0,0,True
3300001,3200001,A,OP11,9600028,OP11:9600028,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,209,13,0,0,0,True
3300001,3200001,A,OP11,9600029,OP11:9600029,2.0,0.0,2.0,1,0,0,2,0,1,0,1,1,37,7,0,0,0,True
3300001,3200001,A,OP12,9600000,OP12:9600000,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,67,14,0,0,0,True
3300001,3200001,A,OP12,9600001,OP12:9600001,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,30,25,0,0,0,True
3300001,3200001,A,OP12,9600002,OP12:9600002,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,61,22,0,0,0,True
3300001,3200001,A,OP12,9600003,OP12:9600003,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,33,33,0,0,0,True
3300001,3200001,A,OP12,9600004,OP12:9600004,3.0,2.0,1.0,1,0,0,3,2,1,0,1,1,30,29,0,0,0,True
3300001,3200001,A,OP12,9600005,OP12:9600005,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,96,25,0,0,0,True
3300001,3200001,A,OP12,9600006,OP12:9600006,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,42,19,0,0,0,True
3300001,3200001,A,OP12,9600007,OP12:9600007,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,55,18,0,0,0,True
3300001,3200001,A,OP12,9600008,OP12:9600008,3.0,0.0,3.0,1,0,0,3,0,1,0,1,1,54,16,0,0,0,True
3300001,3200001,A,OP12,9600009,OP12:9600009,3.0,1.0,2.0,1,0,0,3,1,1,0,1,1,31,31,0,0,0,True
