condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP6,2002,0,5,160,1,1,0,-0.019382547587156296,0.09658445417881012,-0.018476873636245728,0.024893447756767273,0.23985788226127625,0.26935049891471863,0.24007520079612732,0.2507164478302002
learned_qphi_switching,OP6,2002,0,6,192,3,1,1,-0.07988296449184418,0.009798522107303143,-0.0485370010137558,0.04741127789020538,0.23466359078884125,0.2566811144351959,0.24213585257530212,0.2665194571018219
learned_qphi_switching,OP6,2003,0,0,0,3,3,0,-0.1342112123966217,0.04644284024834633,-0.0011232011020183563,0.12008731067180634,0.21598702669143677,0.25875258445739746,0.24673286080360413,0.27852749824523926
learned_qphi_switching,OP6,2003,0,1,32,1,3,1,-0.0959840938448906,0.09974776953458786,-0.028054460883140564,0.03451095521450043,0.22594361007213593,0.27479279041290283,0.2418251931667328,0.25743842124938965
learned_qphi_switching,OP6,2003,0,2,64,1,1,0,-0.06243739277124405,0.08365999162197113,-0.0529433973133564,0.054734669625759125,0.23303715884685516,0.2696959972381592,0.23526017367839813,0.2620067000389099
learned_qphi_switching,OP6,2003,0,3,96,1,1,0,-0.0468636229634285,0.08266878128051758,-0.03862009942531586,0.049893125891685486,0.23539571464061737,0.26794999837875366,0.23734420537948608,0.2593100965023041
learned_qphi_switching,OP6,2003,0,4,128,1,1,0,-0.0433497317135334,0.07142374664545059,-0.050715506076812744,0.036901846528053284,0.23821774125099182,0.267189621925354,0.23646952211856842,0.25812312960624695
learned_qphi_switching,OP6,2004,0,0,0,3,1,1,-0.1399148553609848,0.04580939561128616,0.002122744917869568,0.12361980974674225,0.214673712849617,0.25848647952079773,0.24743719398975372,0.27940264344215393
learned_qphi_switching,OP6,2004,0,1,32,1,3,1,-0.0787709653377533,0.08363224565982819,-0.026241611689329147,0.029767721891403198,0.23015405237674713,0.2707381546497345,0.2425670623779297,0.2565407454967499
learned_qphi_switching,OP6,2004,0,2,64,1,1,0,-0.05376700311899185,0.07840417325496674,-0.012592293322086334,0.03942237049341202,0.23358988761901855,0.2665969729423523,0.24340863525867462,0.2564045190811157
learned_qphi_switching,OP6,2004,0,3,96,3,1,1,-0.06011991947889328,0.004335310310125351,-0.05485936626791954,0.05839807540178299,0.23822686076164246,0.2540874779224396,0.23948337137699127,0.2682022452354431
learned_qphi_switching,OP6,2004,0,4,128,3,3,0,-0.03307250887155533,0.022576093673706055,-0.07272814214229584,0.026449106633663177,0.24511756002902985,0.25914469361305237,0.2355874627828598,0.260150283575058
