kind,failure_label,outcome_step,band,band_start_off,band_end_off,episode_key,opponent,eval_seed,train_seed,window_start,window_end,window_len,opp_has_carrier,opp_home_threatened,opp_leading,score_diff_at_end,score_stratum,carrier_unescorted_frac,mean_escort_distance,mean_carrier_pressure,carrier_pressure_trend,carrier_pressure_increasing,defender_tag_available_frac,mean_nearest_ready_defender,own_cooldown_bound_frac,both_forward_frac,none_forward_frac,mean_team_separation,intervention_margin,mate_can_intervene,leading_frac,trailing_frac
failure,tagged_while_carrying,17,middle,-20,-10,OP6:9400012,OP6,9400012,3200001,0,7,7,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.0,0.0,1.0,0.3901574100766863,nan,0.0,0.0,0.0
failure,tagged_while_carrying,17,latest,-10,0,OP6:9400012,OP6,9400012,3200001,7,17,10,False,False,False,0.0,tied,0.0,nan,nan,nan,False,0.2,nan,1.0,0.0,0.3,0.32605785578489305,nan,0.0,0.0,0.0
failure,dropped_the_flag,17,middle,-20,-10,OP6:9400012,OP6,9400012,3200001,0,7,7,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.0,0.0,1.0,0.3901574100766863,nan,0.0,0.0,0.0
failure,dropped_the_flag,17,latest,-10,0,OP6:9400012,OP6,9400012,3200001,7,17,10,False,False,False,0.0,tied,0.0,nan,nan,nan,False,0.2,nan,1.0,0.0,0.3,0.32605785578489305,nan,0.0,0.0,0.0
failure,tagged_while_carrying,29,earliest,-30,-20,OP6:9400012,OP6,9400012,3200001,0,9,9,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.2222222222222222,0.0,1.0,0.3537290957238939,nan,0.0,0.0,0.0
failure,tagged_while_carrying,29,middle,-20,-10,OP6:9400012,OP6,9400012,3200001,9,19,10,True,False,False,0.0,tied,1.0,0.5794522762298584,0.050096869468688965,nan,False,0.1,0.050096869468688965,1.0,0.0,0.1,0.3916422471404076,-0.5293554067611694,0.0,0.0,0.0
failure,tagged_while_carrying,29,latest,-10,0,OP6:9400012,OP6,9400012,3200001,19,29,10,True,False,False,0.0,tied,1.0,0.5542318224906921,0.04707180708646774,nan,False,0.0,nan,1.0,0.2,0.0,0.28966138064861296,nan,0.0,0.0,0.0
failure,dropped_the_flag,29,earliest,-30,-20,OP6:9400012,OP6,9400012,3200001,0,9,9,False,False,False,0.0,tied,0.0,nan,nan,nan,False,1.0,nan,0.2222222222222222,0.0,1.0,0.3537290957238939,nan,0.0,0.0,0.0
failure,dropped_the_flag,29,middle,-20,-10,OP6:9400012,OP6,9400012,3200001,9,19,10,True,False,False,0.0,tied,1.0,0.5794522762298584,0.050096869468688965,nan,False,0.1,0.050096869468688965,1.0,0.0,0.1,0.3916422471404076,-0.5293554067611694,0.0,0.0,0.0
failure,dropped_the_flag,29,latest,-10,0,OP6:9400012,OP6,9400012,3200001,19,29,10,True,False,False,0.0,tied,1.0,0.5542318224906921,0.04707180708646774,nan,False,0.0,nan,1.0,0.2,0.0,0.28966138064861296,nan,0.0,0.0,0.0
