policy_seed,opponent,eval_seed,episode_key,step_i,score_stratum,failure_labels_at_t,step,time_remaining_frac,blue_score,red_score,score_diff,blue_carrying,red_carrying,blue_tagged,red_tagged,blue_cooldown_active,agents_forward,formation_spread,team_separation,carrier_present,carrier_pressure,carrier_under_pressure,escort_available,escort_distance,carrier_unescorted,red_tag_ready_count,nearest_ready_defender,defender_tag_available,home_threatened,our_flag_away_from_home,nearest_red_to_our_flag,nearest_blue_to_our_flag,blue_alive_count,red_alive_count,intervention_margin,mate_can_intervene
3200001,OP6,9400000,OP6:9400000,62,leading,,62,0.7416666666666667,2.0,0.0,2.0,0,1,0,0,0,0,0.12417455017566681,0.1881335824728012,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,1.0,0.0,0.42921677231788635,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,63,leading,capture_conceded|lost_after_leading,63,0.7375,2.0,0.0,2.0,0,1,0,0,0,0,0.16363529860973358,0.20901286602020264,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,1.0,1.0,0.0,0.4455792307853699,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,64,leading,,64,0.7333333333333334,2.0,1.0,1.0,0,0,0,0,0,0,0.142120361328125,0.18393994867801666,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.6733325719833374,0.24950751662254333,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,65,leading,,65,0.7291666666666667,2.0,1.0,1.0,0,0,0,0,0,1,0.1196955218911171,0.15763230621814728,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.6535505056381226,0.2986147999763489,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,66,leading,,66,0.725,2.0,1.0,1.0,0,0,0,0,0,1,0.09727068245410919,0.1314193308353424,0.0,nan,0.0,0.0,nan,0.0,2,nan,1.0,0.0,0.0,0.6008368730545044,0.3493095636367798,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,67,leading,,67,0.7208333333333333,2.0,1.0,1.0,0,0,1,0,0,2,0.07484583556652069,0.10537167638540268,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.5542793869972229,0.40099024772644043,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,68,leading,,68,0.7166666666666667,2.0,1.0,1.0,0,0,1,0,0,1,0.0862884521484375,0.09983906149864197,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.5091820955276489,0.3949257433414459,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,69,leading,,69,0.7125,2.0,1.0,1.0,0,0,1,0,0,0,0.1196536049246788,0.1250450313091278,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.4659689962863922,0.3630918264389038,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,70,leading,,70,0.7083333333333333,2.0,1.0,1.0,0,0,1,0,0,0,0.1530187577009201,0.1546529084444046,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.42521506547927856,0.3321406841278076,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,71,leading,,71,0.7041666666666666,2.0,1.0,1.0,0,0,1,0,0,0,0.186383917927742,0.18657872080802917,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.38769644498825073,0.27769070863723755,2,2,nan,nan
