seed,pole,arm,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20200028,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,666,216,38,40,289,1
20200029,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,690,192,42,36,317,1
20200030,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,560,400,120,440,331,69,115,2
20200031,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,858,102,626,232,38,64,256,1
20200032,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,548,412,118,430,346,66,116,2
20200033,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,746,136,49,29,343,1
20200034,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,868,92,594,274,47,45,259,1
20200035,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,620,340,288,332,287,53,247,2
20200036,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",5,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,864,96,536,328,25,71,237,1
20200037,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,1,0,1,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,830,130,714,116,84,46,311,1
20200038,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,862,98,672,190,79,19,350,2
20200039,B,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_B3_LOCKDEF10_2V1,ee1cab774896886b39608f53bc77f215cb91b1a02c86ff6dde93ff29d12adb7e,882,78,714,168,45,33,338,1
