policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_B,A,native,20900013,3,1,0,1,1,240,1,0,15.0,15.0,4,3,211,196,1,2,195,1,72,0.05,7.0,5.7
pi_B,A,plus_one_defender,20900013,3,3,0,1,3,197,3,0,14.0,14.0,6,6,157,157,2,3,141,2,183,0.1548223350253807,7.0,5.071065989847716
pi_B,B,native,20900013,3,1,0,1,1,240,1,0,14.0,14.0,3,2,210,196,1,1,195,1,112,0.07777777777777778,7.0,5.533333333333333
pi_B,B,plus_one_defender,20900013,3,1,0,1,1,240,1,0,14.0,14.0,3,3,211,211,1,1,185,2,172,0.11944444444444445,7.0,5.283333333333333
pi_A,A,native,20900014,4,1,0,1,1,240,1,0,14.0,14.0,6,5,197,195,1,4,166,1,179,0.12430555555555556,10.0,5.254166666666666
pi_A,A,plus_one_defender,20900014,4,3,0,1,3,103,3,0,14.0,14.0,5,5,48,48,2,2,1,1,136,0.22006472491909385,10.0,4.679611650485437
pi_A,B,native,20900014,4,3,0,1,3,214,3,0,14.0,14.0,10,8,62,57,2,7,0,0,396,0.308411214953271,8.0,4.149532710280374
pi_A,B,plus_one_defender,20900014,4,2,0,1,2,240,2,0,14.0,14.0,10,10,46,46,2,8,1,1,497,0.3451388888888889,8.0,3.9291666666666667
pi_B,A,native,20900014,4,1,1,0,0,240,1,1,14.0,14.0,9,8,178,177,1,7,170,2,198,0.1375,7.0,5.175
pi_B,A,plus_one_defender,20900014,4,1,0,1,1,240,1,0,14.0,14.0,5,5,191,191,1,3,179,1,212,0.14722222222222223,7.0,5.116666666666666
pi_B,B,native,20900014,4,3,0,1,3,86,3,0,14.0,14.0,4,4,44,44,2,1,0,0,140,0.2713178294573643,6.0,4.372093023255814
pi_B,B,plus_one_defender,20900014,4,0,0,0,0,240,0,0,14.0,14.0,15,15,34,34,0,14,0,0,545,0.3784722222222222,6.0,3.7291666666666665
pi_A,A,native,20900015,5,2,0,1,2,240,2,0,13.0,13.0,5,5,201,201,2,2,182,1,127,0.08819444444444445,7.0,5.470833333333333
pi_A,A,plus_one_defender,20900015,5,0,0,0,0,240,0,0,21.0,21.0,1,1,219,219,0,0,218,2,147,0.10208333333333333,9.0,5.3875
pi_A,B,native,20900015,5,3,0,1,3,126,3,0,15.0,15.0,6,6,53,53,2,3,0,0,238,0.3148148148148148,7.0,4.111111111111111
pi_A,B,plus_one_defender,20900015,5,1,0,1,1,240,1,0,29.0,29.0,12,12,38,38,1,11,0,0,502,0.3486111111111111,8.0,3.908333333333333
pi_B,A,native,20900015,5,1,0,1,1,240,1,0,14.0,14.0,3,2,214,17,1,1,209,2,104,0.07222222222222222,7.0,5.566666666666666
pi_B,A,plus_one_defender,20900015,5,3,0,1,3,105,3,0,14.0,14.0,7,7,53,53,2,4,1,1,120,0.19047619047619047,7.0,4.857142857142857
pi_B,B,native,20900015,5,3,0,1,3,91,3,0,14.0,14.0,4,4,48,48,2,1,2,1,128,0.23443223443223443,7.0,4.593406593406593
pi_B,B,plus_one_defender,20900015,5,3,0,1,3,164,3,0,14.0,14.0,6,6,52,52,2,3,0,0,316,0.32113821138211385,7.0,4.073170731707317
pi_A,A,native,20900016,0,3,0,1,3,104,3,0,16.0,16.0,5,5,52,52,2,2,0,0,113,0.18108974358974358,7.0,4.913461538461538
pi_A,A,plus_one_defender,20900016,0,3,0,1,3,92,3,0,16.0,16.0,6,6,49,49,2,3,0,0,126,0.22826086956521738,7.0,4.630434782608695
pi_A,B,native,20900016,0,1,0,1,1,240,1,0,16.0,16.0,3,3,203,203,1,1,199,1,118,0.08194444444444444,7.0,5.508333333333334
pi_A,B,plus_one_defender,20900016,0,2,0,1,2,240,2,0,17.0,17.0,10,10,42,42,2,8,0,0,489,0.33958333333333335,7.0,3.9625
pi_B,A,native,20900016,0,1,0,1,1,240,1,0,15.0,15.0,3,3,213,213,1,1,207,1,83,0.05763888888888889,7.0,5.654166666666667
pi_B,A,plus_one_defender,20900016,0,1,0,1,1,240,1,0,16.0,16.0,2,2,213,213,1,0,208,1,148,0.10277777777777777,7.0,5.383333333333334
pi_B,B,native,20900016,0,3,0,1,3,162,3,0,14.0,14.0,5,5,46,46,2,2,0,0,354,0.36419753086419754,7.0,3.814814814814815
pi_B,B,plus_one_defender,20900016,0,3,0,1,3,239,3,0,16.0,16.0,7,7,74,74,2,4,35,1,440,0.3068340306834031,7.0,4.158995815899582
pi_A,A,native,20900017,1,1,0,1,1,240,1,0,13.0,15.0,7,5,180,163,1,5,163,1,202,0.14027777777777778,7.0,5.158333333333333
pi_A,A,plus_one_defender,20900017,1,3,0,1,3,127,3,0,14.0,14.0,6,6,54,54,2,3,5,2,159,0.20866141732283464,7.0,4.748031496062992
pi_A,B,native,20900017,1,3,0,1,3,154,3,0,13.0,19.0,7,5,52,48,2,4,5,1,337,0.3647186147186147,7.0,3.811688311688312
pi_A,B,plus_one_defender,20900017,1,0,0,0,0,240,0,0,23.0,23.0,8,8,109,109,0,7,103,1,392,0.2722222222222222,7.0,4.366666666666666
pi_B,A,native,20900017,1,1,0,1,1,240,1,0,13.0,15.0,5,4,213,211,1,3,200,1,82,0.05694444444444444,7.0,5.658333333333333
pi_B,A,plus_one_defender,20900017,1,3,0,1,3,136,3,0,15.0,15.0,9,9,62,62,2,6,4,1,196,0.24019607843137256,7.0,4.5588235294117645
