policy,pole,arm,seed,defender_id,steps,blue,red,win,margin
pi_A,A,native,20900046,0,240,1,0,1,1
pi_A,A,plus_one_defender,20900046,0,91,3,0,1,3
pi_A,B,native,20900046,0,240,1,0,1,1
pi_A,B,plus_one_defender,20900046,0,240,0,0,0,0
pi_B,A,native,20900046,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900046,0,240,2,0,1,2
pi_B,B,native,20900046,0,240,1,0,1,1
pi_B,B,plus_one_defender,20900046,0,130,3,0,1,3
pi_A,A,native,20900047,1,240,0,0,0,0
pi_A,A,plus_one_defender,20900047,1,169,3,0,1,3
pi_A,B,native,20900047,1,176,3,0,1,3
pi_A,B,plus_one_defender,20900047,1,240,2,0,1,2
pi_B,A,native,20900047,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900047,1,240,1,1,0,0
pi_B,B,native,20900047,1,86,3,0,1,3
pi_B,B,plus_one_defender,20900047,1,141,3,0,1,3
pi_A,A,native,20900048,2,240,0,0,0,0
pi_A,A,plus_one_defender,20900048,2,240,0,0,0,0
pi_A,B,native,20900048,2,95,3,0,1,3
pi_A,B,plus_one_defender,20900048,2,144,3,0,1,3
pi_B,A,native,20900048,2,240,0,0,0,0
pi_B,A,plus_one_defender,20900048,2,240,0,0,0,0
pi_B,B,native,20900048,2,240,1,0,1,1
pi_B,B,plus_one_defender,20900048,2,240,2,0,1,2
pi_A,A,native,20900049,3,240,1,0,1,1
pi_A,A,plus_one_defender,20900049,3,90,3,0,1,3
pi_A,B,native,20900049,3,182,3,0,1,3
pi_A,B,plus_one_defender,20900049,3,132,3,0,1,3
pi_B,A,native,20900049,3,240,2,1,1,1
pi_B,A,plus_one_defender,20900049,3,90,3,0,1,3
pi_B,B,native,20900049,3,240,2,0,1,2
pi_B,B,plus_one_defender,20900049,3,104,3,0,1,3
pi_A,A,native,20900050,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900050,4,114,3,0,1,3
pi_A,B,native,20900050,4,130,3,0,1,3
pi_A,B,plus_one_defender,20900050,4,240,1,0,1,1
pi_B,A,native,20900050,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900050,4,129,3,0,1,3
pi_B,B,native,20900050,4,240,1,0,1,1
pi_B,B,plus_one_defender,20900050,4,240,1,0,1,1
pi_A,A,native,20900051,5,240,1,0,1,1
pi_A,A,plus_one_defender,20900051,5,240,0,0,0,0
pi_A,B,native,20900051,5,162,3,0,1,3
pi_A,B,plus_one_defender,20900051,5,240,1,0,1,1
pi_B,A,native,20900051,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900051,5,240,0,0,0,0
pi_B,B,native,20900051,5,240,2,0,1,2
pi_B,B,plus_one_defender,20900051,5,240,1,0,1,1
pi_A,A,native,20900052,0,240,0,0,0,0
pi_A,A,plus_one_defender,20900052,0,121,3,0,1,3
pi_A,B,native,20900052,0,240,1,0,1,1
pi_A,B,plus_one_defender,20900052,0,240,1,0,1,1
pi_B,A,native,20900052,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900052,0,114,3,0,1,3
pi_B,B,native,20900052,0,98,3,0,1,3
pi_B,B,plus_one_defender,20900052,0,128,3,0,1,3
pi_A,A,native,20900053,1,240,1,0,1,1
pi_A,A,plus_one_defender,20900053,1,240,1,0,1,1
pi_A,B,native,20900053,1,170,3,0,1,3
pi_A,B,plus_one_defender,20900053,1,240,2,1,1,1
pi_B,A,native,20900053,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900053,1,240,1,0,1,1
pi_B,B,native,20900053,1,240,2,0,1,2
pi_B,B,plus_one_defender,20900053,1,240,1,0,1,1
pi_A,A,native,20900054,2,240,1,0,1,1
pi_A,A,plus_one_defender,20900054,2,158,3,0,1,3
pi_A,B,native,20900054,2,149,3,1,1,2
pi_A,B,plus_one_defender,20900054,2,240,0,0,0,0
pi_B,A,native,20900054,2,240,1,0,1,1
pi_B,A,plus_one_defender,20900054,2,88,3,0,1,3
pi_B,B,native,20900054,2,240,1,0,1,1
pi_B,B,plus_one_defender,20900054,2,240,1,0,1,1
pi_A,A,native,20900055,3,240,1,0,1,1
pi_A,A,plus_one_defender,20900055,3,240,2,0,1,2
pi_A,B,native,20900055,3,240,1,0,1,1
pi_A,B,plus_one_defender,20900055,3,240,2,0,1,2
pi_B,A,native,20900055,3,240,2,1,1,1
pi_B,A,plus_one_defender,20900055,3,240,1,0,1,1
pi_B,B,native,20900055,3,240,1,0,1,1
pi_B,B,plus_one_defender,20900055,3,144,3,0,1,3
pi_A,A,native,20900056,4,240,1,0,1,1
pi_A,A,plus_one_defender,20900056,4,77,3,0,1,3
pi_A,B,native,20900056,4,240,2,0,1,2
pi_A,B,plus_one_defender,20900056,4,240,2,0,1,2
pi_B,A,native,20900056,4,240,1,0,1,1
pi_B,A,plus_one_defender,20900056,4,240,2,0,1,2
pi_B,B,native,20900056,4,86,3,0,1,3
pi_B,B,plus_one_defender,20900056,4,187,3,0,1,3
pi_A,A,native,20900057,5,240,1,0,1,1
pi_A,A,plus_one_defender,20900057,5,123,3,0,1,3
pi_A,B,native,20900057,5,240,2,0,1,2
pi_A,B,plus_one_defender,20900057,5,240,1,0,1,1
pi_B,A,native,20900057,5,240,1,0,1,1
pi_B,A,plus_one_defender,20900057,5,109,3,0,1,3
pi_B,B,native,20900057,5,125,3,0,1,3
pi_B,B,plus_one_defender,20900057,5,240,2,0,1,2
pi_A,A,native,20900058,0,240,0,0,0,0
pi_A,A,plus_one_defender,20900058,0,240,0,0,0,0
pi_A,B,native,20900058,0,240,1,0,1,1
pi_A,B,plus_one_defender,20900058,0,240,1,0,1,1
pi_B,A,native,20900058,0,240,1,0,1,1
pi_B,A,plus_one_defender,20900058,0,240,1,0,1,1
pi_B,B,native,20900058,0,151,3,0,1,3
pi_B,B,plus_one_defender,20900058,0,240,1,0,1,1
pi_A,A,native,20900059,1,240,1,0,1,1
pi_A,A,plus_one_defender,20900059,1,111,3,0,1,3
pi_A,B,native,20900059,1,91,3,0,1,3
pi_A,B,plus_one_defender,20900059,1,240,1,1,0,0
pi_B,A,native,20900059,1,240,1,0,1,1
pi_B,A,plus_one_defender,20900059,1,90,3,0,1,3
pi_B,B,native,20900059,1,240,1,0,1,1
pi_B,B,plus_one_defender,20900059,1,240,2,0,1,2
pi_A,A,native,20900060,2,240,1,0,1,1
pi_A,A,plus_one_defender,20900060,2,240,1,0,1,1
pi_A,B,native,20900060,2,240,1,0,1,1
pi_A,B,plus_one_defender,20900060,2,201,3,0,1,3
pi_B,A,native,20900060,2,240,1,0,1,1
pi_B,A,plus_one_defender,20900060,2,240,0,0,0,0
pi_B,B,native,20900060,2,93,3,0,1,3
pi_B,B,plus_one_defender,20900060,2,240,1,0,1,1
pi_A,A,native,20900061,3,240,1,0,1,1
pi_A,A,plus_one_defender,20900061,3,240,0,0,0,0
pi_A,B,native,20900061,3,137,3,0,1,3
pi_A,B,plus_one_defender,20900061,3,240,0,0,0,0
pi_B,A,native,20900061,3,240,0,0,0,0
pi_B,A,plus_one_defender,20900061,3,240,0,1,0,-1
pi_B,B,native,20900061,3,130,3,0,1,3
pi_B,B,plus_one_defender,20900061,3,214,3,0,1,3
pi_A,A,native,20900062,4,240,2,0,1,2
pi_A,A,plus_one_defender,20900062,4,162,3,0,1,3
pi_A,B,native,20900062,4,240,2,0,1,2
pi_A,B,plus_one_defender,20900062,4,157,3,0,1,3
pi_B,A,native,20900062,4,240,1,0,1,1
